,2019-11-03,2019-11-04,2019-11-05,2019-11-06,2019-11-07,2019-11-08,2019-11-09,2019-11-10,2019-11-11,2019-11-12,2019-11-13,2019-11-14,2019-11-15,2019-11-16,2019-11-17,2019-11-18,2019-11-19,2019-11-20,2019-11-21,2019-11-22,2019-11-23,2019-11-25,2019-11-26,2019-11-27,2019-11-28,2019-11-29,2019-11-30,2019-12-01,2019-12-02,2019-12-03,2019-12-04,2019-12-05,2019-12-06,2019-12-07,2019-12-08,2019-12-09,2019-12-10,2019-12-11,2019-12-12,2019-12-13,2019-12-14,2019-12-15,2019-12-16,2019-12-17,2019-12-18,2019-12-19,2019-12-20,2019-12-21,2019-12-22,2019-12-23,2019-12-24,2019-12-25,2019-12-26,2019-12-27,2019-12-28,2019-12-29,2019-12-30,2019-12-31,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19
Newdex,152900.0,147100.0,137100.0,113700.0,109200.0,114900.0,123000.0,132500.0,116400.0,111700.0,117000.0,109700.0,113600.0,116100.0,101800.0,99100.0,90000.0,94700.0,95900.0,95700.0,85700.0,101600.0,92900.0,92400.0,94200.0,97400.0,87700.0,85600.0,96800.0,98600.0,92700.0,96200.0,98000.0,102100.0,91900.0,95600.0,90000.0,93600.0,86200.0,96800.0,97400.0,95900.0,95900.0,94200.0,96700.0,116300.0,109500.0,115900.0,114500.0,107600.0,101000.0,103000.0,105800.0,105700.0,92100.0,87700.0,84300.0,92300.0,88300.0,94200.0,56000.0,55900.0,55400.0,50100.0,44200.0,45600.0,40900.0,47800.0,45200.0,36600.0,21400.0,30000.0,19600.0,16700.0,54000.0,70200.0,72600.0,75100.0,76700.0,72100.0,88600.0,74000.0,66900.0,75600.0,76700.0,59000.0,59600.0,59900.0,58800.0,57000.0,76200.0,75100.0,71700.0,73400.0,65099.99999999999,60200.0,61400.0,63900.0,67300.0,76100.0,73200.0,79100.0,80200.0,75900.0,80800.0
Playtowin.io,25.97,25.55,24.49,24.75,24.34,15.4,15.18,25.15,26.1,25.66,25.41,25.21,25.42,25.73,25.42,24.48,,,23.72,23.73,24.59,24.03,23.36,24.07,,,22.77,23.02,23.21,23.95,26.99,26.12,28.57,25.62,27.15,,27.21,27.21,27.21,27.21,27.21,27.21,,27.94,27.59,27.46,27.45,28.2,28.09,30.61,30.71,30.17,30.9,,30.03,25.21,25.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MakerDAO,2100000.0,2100000.0,2100000.0,2100000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2200000.0,2300000.0,2300000.0,2400000.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,
Roulette Live,15200.0,15200.0,15200.0,15100.0,15100.0,15100.0,15100.0,15100.0,15100.0,16600.0,16600.0,16600.0,16600.0,16600.0,16500.0,16500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iBank,64100.0,53500.0,104900.0,233500.0,295800.0,357200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X2BET.WIN,12.34,14.16,13.71,13.52,12.06,15.07,15.39,14.57,14.48,14.52,14.04,14.25,13.17,14.54,13.98,13.54,14.33,13.25,12.92,13.24,13.2,13.64,12.87,15.08,,,13.42,13.46,12.71,,,,,12.95,13.06,,13.06,13.06,13.06,13.06,13.06,13.06,,16.52,15.62,15.66,15.99,16.09,17.35,16.3,15.97,15.36,14.79,14.55,14.45,14.39,13.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackJack,15900.0,16000.0,19000.0,19000.0,19000.0,15900.0,15900.0,16000.0,16100.000000000002,16100.000000000002,16000.0,16000.0,16000.0,16100.000000000002,16300.0,16300.0,16300.0,16400.0,16400.0,16400.0,17100.0,17100.0,17100.0,17200.0,17300.0,17500.0,18000.0,18100.0,5000.0,3700.0,3700.0,3700.0,3800.0,3800.0,3100.0,3500.0,4400.0,5200.0,7600.0,7200.0,7200.0,19100.0,19200.0,19800.0,19200.0,19300.0,19300.0,18100.0,19000.0,13500.0,14400.0,15200.0,15900.0,19000.0,18400.0,18400.0,,,19100.0,19000.0,18900.0,19800.0,15000.0,14300.0,12200.0,18700.0,7900.0,7800.0,8400.0,11100.0,7700.0,7800.0,9400.0,10800.0,14200.0,17800.0,12600.0,12700.0,12700.0,17700.0,15000.0,15200.0,14300.0,15900.0,15900.0,16200.0,15000.0,11900.0,11900.0,11900.0,12100.0,12500.0,12500.0,12400.0,12400.0,12600.0,12100.0,15600.0,,,,,,,
HyperSnakes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.17,46.3,45.12,46.63,46.47,46.5,46.19,38.9,40.77,40.6,38.9,40.64,41.26,,42.45,42.45,42.45,42.45,42.45,42.45,42.45,40.51,42.38,42.39,42.05,41.71,42.08,40.46,,,,42.6,40.56,42.61,40.57,40.91,41.73,41.05,41.73,40.88,0.0,42.24,42.07,42.07,44.45,41.73,43.1,43.61,42.42,43.27,41.74,38.41,43.21,43.22,44.34,39.82,43.19,40.0,,41.87,42.85,42.17,42.85,,,42.0,,,,,,,,,,,,,,,,,
PROSPECTORS,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.8,,,,,,,,,10.8,10.8,10.8,10.8,10.8,10.8,10.8,1000000.0,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1700.0,1700.0,1700.0,1700.0,1700.0
CatPromotion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
